City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,wotho,10.1657,166.0102,28.49,79,72,6.55,MH,1691542279
171,santa terezinha,-29.9002,-50.0904,15.86,74,100,8.15,BR,1691542279
172,kapuskasing,49.4169,-82.4331,23.05,68,40,1.54,CA,1691542216
173,cidade velha,14.9167,-23.6167,26.26,69,75,4.63,CV,1691542279
174,nanyang,32.9947,112.5328,28.38,73,77,3.67,CN,1691542280
175,mountain home,43.133,-115.6912,27.71,30,0,7.2,US,1691542280
176,rakvere,59.3464,26.3558,10.5,94,0,2.64,EE,1691542280
177,usinsk,65.9939,57.5281,11.03,78,86,2.77,RU,1691542266
178,vorgashor,67.5833,63.95,8.81,70,100,3.58,RU,1691542194
179,egilsstadir,65.2653,-14.3948,6.95,81,100,4.12,IS,1691542280
180,alesund,62.4723,6.1549,14.31,85,100,2.57,NO,1691542280
181,weno,7.4515,151.8468,30.97,79,100,1.54,FM,1691542248
182,itoman,26.1247,127.6694,29.01,86,75,4.63,JP,1691542199
183,moyale,3.5167,39.0584,19.54,67,90,6.65,KE,1691542280
184,lebu,-37.6167,-73.65,11.47,70,100,3.67,CL,1691542096
185,ambatondrazaka,-17.8333,48.4167,12.34,94,40,1.39,MG,1691542280
186,ta`u,-14.2336,-169.5144,27.46,69,93,3.72,AS,1691542051
187,thompson,55.7435,-97.8558,13.09,88,100,5.66,CA,1691542182
188,tazacorte,28.629,-17.9293,22.86,90,0,2.06,ES,1691542188
189,murzuq,25.9155,13.9184,27.99,27,1,5.18,LY,1691542074
190,georgetown,5.4112,100.3354,27.19,88,20,1.54,MY,1691542051
191,penzance,50.1186,-5.5371,16.38,97,100,4.9,GB,1691542251
192,aguas vermelhas,-15.7472,-41.46,17.31,73,0,1.83,BR,1691542281
193,santa elena de uairen,4.6167,-61.1333,20.25,90,14,0.45,VE,1691542281
194,vilyuysk,63.7553,121.6247,20.38,37,100,4.46,RU,1691542281
195,klyuchi,52.2667,79.1667,20.06,48,65,1.37,RU,1691542191
196,sao gabriel da cachoeira,-0.1303,-67.0892,24.38,89,46,0.27,BR,1691542281
197,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,56,75,3.0,RU,1691541949
198,baardheere,2.3446,42.2764,23.07,80,86,6.49,SO,1691542174
199,east ballina,-28.8667,153.5833,18.78,67,7,4.9,AU,1691542227
200,touros,-5.1989,-35.4608,24.51,82,100,4.98,BR,1691542236
201,atafu village,-8.5421,-172.5159,28.45,74,97,5.93,TK,1691542208
202,colesberg,-30.72,25.0972,7.31,86,26,4.19,ZA,1691542281
203,suva,-18.1416,178.4415,26.71,74,40,3.6,FJ,1691542241
204,fale old settlement,-9.3852,-171.2468,28.09,78,35,5.46,TK,1691542184
205,babruysk,53.15,29.2333,11.11,86,100,2.76,BY,1691542281
206,punta arenas,-53.15,-70.9167,1.05,87,46,3.01,CL,1691541914
207,veseloyarsk,51.2836,81.1056,19.33,42,100,1.08,RU,1691542281
208,tres marias,19.0522,-99.2431,22.27,74,10,0.29,MX,1691542282
209,al bardiyah,31.7561,25.0865,24.69,73,0,5.47,LY,1691542282
210,mil'kovo,55.6078,37.7956,19.73,82,0,2.78,RU,1691542282
211,ancud,-41.8697,-73.8203,10.08,98,100,5.77,CL,1691542253
212,constantia,44.1833,28.65,14.38,72,0,3.74,RO,1691542034
213,flying fish cove,-10.4217,105.6791,24.82,83,75,7.2,CX,1691541996
214,newman,37.3138,-121.0208,35.16,37,0,1.79,US,1691542282
215,naze,28.3667,129.4833,25.51,87,100,11.38,JP,1691542050
216,salahonda,2.1019,-78.7217,27.3,81,100,5.32,CO,1691542282
217,ghanzi,-21.5667,21.7833,12.43,34,5,4.05,BW,1691542282
218,belyy yar,53.6039,91.3903,18.94,77,0,0.0,RU,1691542282
219,altai,46.3722,96.2583,14.85,72,100,5.59,MN,1691542282
220,laughlin,35.1678,-114.573,43.71,5,12,4.92,US,1691542283
221,paka,4.6374,103.4368,24.99,94,20,0.0,MY,1691542267
222,bridlington,54.0831,-0.1919,13.27,85,100,2.68,GB,1691542283
223,katsuura,35.1333,140.3,27.49,89,99,6.54,JP,1691542283
224,lucapa,-8.4192,20.7447,19.81,39,4,1.55,AO,1691542283
225,manay,7.215,126.5397,29.49,71,100,3.23,PH,1691542283
226,nuriootpa,-34.4833,139.0,15.86,33,6,7.82,AU,1691542283
227,ashmun,30.2986,30.9764,26.47,80,0,1.78,EG,1691542283
228,borogontsy,62.6683,131.1683,20.85,45,10,1.82,RU,1691542176
229,promissao,-21.5367,-49.8581,18.01,76,1,7.1,BR,1691542283
230,oamaru,-45.0784,170.9801,9.1,63,100,6.92,NZ,1691542283
231,lehigh acres,26.6254,-81.6248,33.0,74,40,3.09,US,1691542284
232,san juan de uraba,8.7592,-76.5297,27.31,89,24,2.89,CO,1691542284
233,conde,-7.2597,-34.9075,23.7,94,20,2.06,BR,1691542284
234,praia da vitoria,38.7333,-27.0667,25.14,78,40,8.03,PT,1691542190
235,ayacucho,-13.1583,-74.2239,13.22,74,10,1.95,PE,1691542284
236,fukuecho,32.6881,128.8419,26.2,94,75,8.23,JP,1691542284
237,kajaani,64.2273,27.7285,16.03,94,0,2.06,FI,1691542242
238,souillac,-20.5167,57.5167,20.21,83,40,1.54,MU,1691542284
239,dudinka,69.4058,86.1778,18.68,57,94,0.74,RU,1691542167
240,mossel bay,-34.1831,22.146,11.96,83,27,0.6,ZA,1691542284
241,laojunmiao,39.8333,97.7333,24.79,28,98,6.99,CN,1691542039
242,brokopondo,4.75,-55.1667,27.51,76,98,3.8,SR,1691542284
243,nar'yan-mar,67.6713,53.087,11.02,71,28,1.59,RU,1691542186
244,kailua-kona,19.6406,-155.9956,30.98,74,20,6.69,US,1691542173
245,guacui,-20.7756,-41.6794,18.07,93,100,1.72,BR,1691542285
246,fuglafjordur,62.244,-6.814,8.26,86,94,13.8,FO,1691542285
247,zag,46.9441,99.165,15.61,76,100,0.73,MN,1691542285
248,queenstown,-31.8976,26.8753,10.36,77,100,2.42,ZA,1691542171
249,khanty-mansiysk,61.0042,69.0019,15.06,100,75,3.13,RU,1691542232
250,mount pearl,47.5166,-52.7813,12.75,88,100,3.6,CA,1691542185
251,oyama,36.3,139.8,31.99,70,40,2.99,JP,1691542285
252,castillos,-34.1667,-53.8333,10.15,80,97,3.18,UY,1691542191
253,antsiranana,-12.2787,49.2917,21.42,83,4,5.14,MG,1691542055
254,robertsport,6.7533,-11.3686,25.16,89,94,6.43,LR,1691542204
255,la passe,45.5549,-0.8967,15.55,63,0,3.02,FR,1691542001
256,paramonga,-10.6667,-77.8333,19.14,84,64,4.34,PE,1691542285
257,nova vicosa,-17.8919,-39.3719,22.25,87,0,1.7,BR,1691542170
258,hauterive,46.0901,3.4459,15.42,62,93,1.73,FR,1691542285
259,xique xique,-10.8217,-42.7311,25.2,57,0,6.66,BR,1691542286
